day,new_accounts,total_messages,anon_messages_percentage,total_topics,previous_total,percentage_change
2026-02-01,6,6,50.00,-6,,0.00
2026-02-02,8,8,50.00,-15,-6,150.00
2026-02-03,7,9,55.56,-22,-15,46.67
2026-02-04,9,7,42.86,-30,-22,36.36
2026-02-05,10,6,50.00,-35,-30,16.67
2026-02-06,5,8,50.00,-41,-35,17.14
2026-02-07,5,8,50.00,-47,-41,14.63
2026-02-08,10,10,50.00,-51,-47,8.51
2026-02-09,10,6,50.00,-59,-51,15.69
2026-02-10,10,9,44.44,-63,-59,6.78
2026-02-11,7,5,40.00,-68,-63,7.94
2026-02-12,6,5,40.00,-74,-68,8.82
2026-02-13,6,5,60.00,-78,-74,5.41
2026-02-14,7,6,50.00,-84,-78,7.69
2026-02-15,9,7,57.14,-87,-84,3.57
2026-02-16,9,9,55.56,-92,-87,5.75
2026-02-17,8,8,50.00,-95,-92,3.26
2026-02-18,6,8,50.00,-101,-95,6.32
2026-02-19,9,8,50.00,-102,-101,0.99
2026-02-20,6,5,40.00,-105,-102,2.94
2026-02-21,5,6,50.00,-109,-105,3.81
2026-02-22,7,6,50.00,-110,-109,0.92
2026-02-23,8,5,40.00,-112,-110,1.82
2026-02-24,6,8,50.00,-116,-112,3.57
2026-02-25,5,5,40.00,-117,-116,0.86
2026-02-26,7,10,50.00,-119,-117,1.71
2026-02-27,7,9,55.56,-122,-119,2.52
2026-02-28,8,8,50.00,-125,-122,2.46
